title;link;description;pub_date;search_term;collected_at;full_text;sentiment
Feito no Piauí projeto de IA com base de dados em português é apresentado ao Governo Agência Gov;https://news.google.com/rss/articles/CBMitgFBVV95cUxNSTFXQy1BR1ZtM1ZPQi1rU19rekhrUDRRNEZoSEVROEgzMDhSMXdCMklsd25MNFQ2TkxJb3pNRmN5NlZrb0ZEU09zUDJjRGdWVS1UVGMxZUQyNWFLcktFMlBpVGYtai1mUTBSTnZVNXZCUU1oMENjemhnOGVIaERVTFVTZEx3YXNUQ2Q3VWFRQWFxQ2h0VE1PeDhER243ejVkLUU0MTJTbmlXSXFRc2ZoSXBzTFJxZw?oc=5;Feito no Piauí projeto de IA com base de dados em português é apresentado ao Governo nbsp nbsp Agência Gov;Thu, 06 Feb 2025 08:00:00 GMT;Inteligência Artificial Piauí;2025-09-02T21:52:41.487784;Feito no Piauí projeto de IA com base de dados em português é apresentado ao Governo Agência Gov Feito no Piauí projeto de IA com base de dados em português é apresentado ao Governo nbsp nbsp Agência Gov;neutro
Rafael Fonteles lança nesta quarta 25 a SoberanIA IA em português elaborada no Piauí pi gov br;https://news.google.com/rss/articles/CBMiqwFBVV95cUxOVmYzdDNMUE54SWQ1QzRtZG5abG1yRkd4UGtaVGxvZHN6S01NVG9fakwwTzYwNHhOU2dZZ2RjQkJER1h4OU0tZDU0TjNWSW83WUM2VVhGNkVYQS1MTGY0ckxiQTZNVlprQTdTT1I2ejlGclpLNGJndDdLbklVLXJuSFpSZ1A0VEJTeXctNnpJRXJDamdmUm82aVcxUFhLR3FCdFR1SGZMZFQ3cjQ?oc=5;Rafael Fonteles lança nesta quarta 25 a SoberanIA IA em português elaborada no Piauí nbsp nbsp pi gov br;Mon, 23 Jun 2025 07:00:00 GMT;Inteligência Artificial Piauí;2025-09-02T21:52:41.487843;Rafael Fonteles lança nesta quarta 25 a SoberanIA IA em português elaborada no Piauí pi gov br Rafael Fonteles lança nesta quarta 25 a SoberanIA IA em português elaborada no Piauí nbsp nbsp pi gov br;neutro
Governo do Piauí apresenta projeto de IA com base de dados em português GOV BR;https://news.google.com/rss/articles/CBMi0AFBVV95cUxOWXJqcm1IUDFjSzhtcHFxX1BQbTJVN3BQOGM2Zk1SNGthczlpSDk3V0txN0t5cFJ0dWdEbjNkNG5Zbm1zcEdOZjllLXZ2dmdvLXpGOVBjQldpNWhRWW82V1ZuMUJrbEVaZGRVclVYMUNicm96SDhlNWkyZ1F1QlNRNHVjLXBWZGxZajFGQXNyVGlXbW1VM21BRUNiQzV5SVZTLV9QYWp0NDZSYmFjdGVldllvVU5TY3RjcXhzWHF1SGRsTFNWTk1SbkhvUlU4NHk4?oc=5;Governo do Piauí apresenta projeto de IA com base de dados em português nbsp nbsp GOV BR;Thu, 06 Feb 2025 08:00:00 GMT;Inteligência Artificial Piauí;2025-09-02T21:52:41.487892;Governo do Piauí apresenta projeto de IA com base de dados em português GOV BR Governo do Piauí apresenta projeto de IA com base de dados em português nbsp nbsp GOV BR;neutro
Parem as máquinas A IA tem uma reportagem urgente Revista Piauí;https://news.google.com/rss/articles/CBMiiAFBVV95cUxQTTU1cFBrV1I0N1NUckdOSXAtZGl3Nm95anc3V2hTak9TSlY3MTZDYWZYdnh4TlA4OU43LTFCdlpPYzZkU1NTTkNXdDdXaG43SVJtU0FjNi1XcHdKWGM4WkVHRnNMV2FIMTk1Zjc5OG1MZlNEaDl1OGdOOExJaWVfUG5WZkx4Tm1z0gGOAUFVX3lxTE9YVVJNOTU1RC1ubUdBODZNMkFzX0tzemM1WWNLTHRYVzRIM1ozb3FjOEV2R25JZWp5bUFya1dLdFN2S1lqUUtzakRHdWdsNk9SZm9kSTA2OXQ0XzZnWE9wYVJXYWR3UHBGMnRoanlSRDNmNmtGeXJSbEZmVlZRbW5zQklRSWFEdzMxR2dLdEE?oc=5;Parem as máquinas A IA tem uma reportagem urgente nbsp nbsp Revista Piauí;Tue, 26 Aug 2025 12:31:40 GMT;Inteligência Artificial Piauí;2025-09-02T21:52:41.487923;Parem as máquinas A IA tem uma reportagem urgente Revista Piauí Parem as máquinas A IA tem uma reportagem urgente nbsp nbsp Revista Piauí;neutro
Governo do Piauí lança SoberanIA primeira plataforma de Inteligência Artificial 100 em português Assembleia Legislativa do Piauí;https://news.google.com/rss/articles/CBMi1AFBVV95cUxOMVFReWwwbDg5R2JUZnFBQURTbEdMR2hGdk12QU5MXzFQdkhucEpnOGliVUduSENDVUFVTFZYX2F3Vk1BLUpjQWZuaTNZWGpoc25nZ2RseWJ1R1NFVmdFcWVtcGN1OHo4LVIxV2xvbFVMTm9US2t3SVYxRy0zMDFPOVhRNUctZlNENG9OZ3R0RWgtU09MUlhaTFpkdFRkYVM2ZlRZV2dUeGtEYTIzbTQ5SDcwSjNkaks0X0ZYV3ZPd0xPUmY1dEwyckNnVVdlMTgzbjQ1MA?oc=5;Governo do Piauí lança SoberanIA primeira plataforma de Inteligência Artificial 100 em português nbsp nbsp Assembleia Legislativa do Piauí;Wed, 05 Feb 2025 08:00:00 GMT;Inteligência Artificial Piauí;2025-09-02T21:52:41.487965;Governo do Piauí lança SoberanIA primeira plataforma de Inteligência Artificial 100 em português Assembleia Legislativa do Piauí Governo do Piauí lança SoberanIA primeira plataforma de Inteligência Artificial 100 em português nbsp nbsp Assembleia Legislativa do Piauí;neutro
Piauí anuncia lançamento do SoberanIA primeiro modelo de IA treinado com base de dados em português e desenvolvido no estado pi gov br;https://news.google.com/rss/articles/CBMi4AFBVV95cUxQYnlpZ3JoNWh4WExDNkdRRnRnUmlUSjVXYnczemc2RXotUUtENjRIMEpFR29DbW9fMFZxa2F2MlNrMDRSWjhPR0RvOUhhaEM1S2M2Ym9MaG5qcHRHTkxZeFhscDhPc0dLcHVxckhpbzJkS2s5M2FZWS1IVHMzWHVMb0lkLWNQalJxTU1lU2g0aDVtR21GRzE0cFhCaklLRVBWUGJ0cmtITlpKc0lBM0dHR3BwS0wxcVN5cVZQcmRQWnhWMnIyRTg1bk9fYW5iZTFfZjhMckU4TlRpRFMzNUtJNQ?oc=5;Piauí anuncia lançamento do SoberanIA primeiro modelo de IA treinado com base de dados em português e desenvolvido no estado nbsp nbsp pi gov br;Fri, 02 May 2025 07:00:00 GMT;IA Piauí;2025-09-02T21:52:43.088106;Piauí anuncia lançamento do SoberanIA primeiro modelo de IA treinado com base de dados em português e desenvolvido no estado pi gov br Piauí anuncia lançamento do SoberanIA primeiro modelo de IA treinado com base de dados em português e desenvolvido no estado nbsp nbsp pi gov br;neutro
O que o Piauí fez para estruturar um currículo de IA PORVIR;https://news.google.com/rss/articles/CBMiXkFVX3lxTE0zM3ZSVElJNzNBdkhnWkhBNnZUdFBSNW9DR204b0ZlVTJHY0xTVG1KZHZHNHdNOFNSeG11enEwSnNUWEo0YmRMM2dPRE9xN0ZsR1pTS3FNRnlRcjhCOVE?oc=5;O que o Piauí fez para estruturar um currículo de IA nbsp nbsp PORVIR;Fri, 18 Jul 2025 07:00:00 GMT;IA Piauí;2025-09-02T21:52:43.088215;O que o Piauí fez para estruturar um currículo de IA PORVIR O que o Piauí fez para estruturar um currículo de IA nbsp nbsp PORVIR;neutro
IA e fotografias teresinenses demonstram amor pela capital do Piauí que completa 173 anos neste sábado 16 G1;https://news.google.com/rss/articles/CBMi8gFBVV95cUxNQ2xCT2JoZUNJZEJwdkFLQUdqSDJOSWY0eF9QcU9rWFRhUmJockNnUEVJZTdhWEdGZ1haWFFkUWhPM3g5N0ZEdzJhR0hyR2l0RlZZM2kwbC11MWlSdFdhUGVlYWtTQnhoMXJMVmRrcjBNdFBuMS1qUjVDcGlNRk5MdFdMSEtlM3p5LUlYNmVNdXVDcjFWVk1PZUhUcGNpUlZqSEs4UERSMUR6NlFKRUVHTGlYZ0NUSkFmZDZGSDk0ZjhhUlJYOXpIMlh4VUtLQlVuR0NHNldxR1ZQUnYwOEsyYzAteUNGZTA1LU0xbmFnNjY4QdIBgAJBVV95cUxQdENfRG5hN28zS2xYYnM5dm9zVVkxZkU3TjJLYkF3cVhfY3VfWlVtMV8xeGZxN3ZXcERpQ3lTeUdVWWVPb0FnRUVoQkxrQml0clJWVjFaOTc3eGxadUZuSkJ1cjVyb1RPTVJNZjN3TnFjLTdweFRoWW54WEpTUmtBeVZfRzJVSk95UEsyVTQxbGV2ZXRreFowakVMdlo2QTBzVmpRdUNXczVwMVZKNldlSHZTR1pfZmNuS195VGEtQWpMSUFpd2p6S1RJQjV3bHQwbUotYnFKUURDZ3paYW1kb0ZlX0gwYTRoU2Y2dzdNdGc3NGI2aTVvcWpraHk0Qk9O?oc=5;IA e fotografias teresinenses demonstram amor pela capital do Piauí que completa 173 anos neste sábado 16 nbsp nbsp G1;Sat, 16 Aug 2025 07:00:00 GMT;IA Piauí;2025-09-02T21:52:43.088260;IA e fotografias teresinenses demonstram amor pela capital do Piauí que completa 173 anos neste sábado 16 G1 IA e fotografias teresinenses demonstram amor pela capital do Piauí que completa 173 anos neste sábado 16 nbsp nbsp G1;neutro
SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí SEDUC PI;https://news.google.com/rss/articles/CBMi7AFBVV95cUxQV1NETTFwSVRucmxmcS16cWpQQVR0aDA4Z0Nhd3pzUE50dk9GNXVTLXF6aEU2S01CTzl2V2FIZEpfQ0tBZEUtZ2NRb1BYRzNidVBJcm82OUE4QkdmdE1Cd2Ixc05OVEt5VkVEandoaTltY0tLRTdiNEtnMFA3aEdQTi1YX0ZDOERkVlJfYzNqR051RnhDX0t6R2x5Sm9GNDY2Rk1Qb0REZzZyQzl0b3BfUmQtM1J2bUN3aFZRSHFsSk1VVk9fcGk3TkZYRERWQkJjR3lMMG4ySmx2YVBfUmVkNXhKUkRfUmxiU3lQQw?oc=5;SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí nbsp nbsp SEDUC PI;Tue, 08 Apr 2025 12:31:45 GMT;SIA Piauí;2025-09-02T21:52:44.483949;SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí SEDUC PI SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí nbsp nbsp SEDUC PI;neutro
SIA Talks promove discussão sobre regulamentação da Inteligência Artificial no Brasil e no mundo pi gov br;https://news.google.com/rss/articles/CBMiuwFBVV95cUxQNkJXMVVKNW5JcDdBNDBGYUg4UXM4aHpfcl9rWVJTbHI2NFVmWjVkcXVnZGtQM3ZSaDN2U0Y3RjExNHBuWkNDQUllWWlaUURsNTlBYjJpVzh5TUtBc2htamxiNjJ4TWc5M0ZMWHJidGJqVmtteGVneHRJeTh2bHJiN2dSRWotZ214TDc3bGE0bkRqbFh2aDh2QXYwemh5RFllM2FlZk1rUlNucG91TWhpaUYyMGZncU1oMWhr?oc=5;SIA Talks promove discussão sobre regulamentação da Inteligência Artificial no Brasil e no mundo nbsp nbsp pi gov br;Thu, 29 May 2025 07:00:00 GMT;SIA Piauí;2025-09-02T21:52:44.484011;SIA Talks promove discussão sobre regulamentação da Inteligência Artificial no Brasil e no mundo pi gov br SIA Talks promove discussão sobre regulamentação da Inteligência Artificial no Brasil e no mundo nbsp nbsp pi gov br;neutro
Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público pi gov br;https://news.google.com/rss/articles/CBMiogFBVV95cUxOLXBhWnFUUlhjSVlBZTVTSVZhbWx0bFFPdFduUWk3Nm9yd0lHeUxwZUQ2bmRxd2xHOWpIUHFUaThYa0xYdTZSX3NnZGwzWkV0djZPdDZ5VkViWUJDMTRCV3prNm9EUnE4RFA3Z2FPamJoLXNPT3FLOVBfSklMTXhiT1h4c29IVXVRTnFpeWZMSS1mM1I4dGVkZ0g5NzlpQmEzeHc?oc=5;Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público nbsp nbsp pi gov br;Mon, 09 Jun 2025 07:00:00 GMT;SIA Piauí;2025-09-02T21:52:44.484048;Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público pi gov br Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público nbsp nbsp pi gov br;neutro
SIA representa o Piauí em encontros sobre IA e tecnologia com Itália e Israel pi gov br;https://news.google.com/rss/articles/CBMiogFBVV95cUxPTVlMTVE4Sno0dTdaUGJmZzJSTXlQeldEMWE1NjNLLXRJMVdoamFLRDR3MG9nMEhmV0FvZmxXdkhKWWJtS0kyWk90TDg1UWVKVEhjSTVsZUttUEZQNS1rQlVOZWtJZnhVZVh2dmFIRU82N0tiR2VXM29VR2U3RUhjTnFkV2RlM0YxSjJ6N1VYQ3djUlNSVkNCOFR5MWJUX3EwS0E?oc=5;SIA representa o Piauí em encontros sobre IA e tecnologia com Itália e Israel nbsp nbsp pi gov br;Sat, 29 Mar 2025 07:00:00 GMT;SIA Piauí;2025-09-02T21:52:44.484085;SIA representa o Piauí em encontros sobre IA e tecnologia com Itália e Israel pi gov br SIA representa o Piauí em encontros sobre IA e tecnologia com Itália e Israel nbsp nbsp pi gov br;neutro
Piauí Digital Sefaz Etipi e SIA recebem capacitação do BID sobre Termo de Referência pi gov br;https://news.google.com/rss/articles/CBMiqwFBVV95cUxQOG5QY3FaNmJIT0g4bUl4ZlZEVTk0ZDZkTUdyaGIyd0hlZUExYTl3RFZNb2I5dWMtSEg0NEpVaEZEbVRyVWktY0JzZXJMWGZib3hIUzhrNnI4M08zUGwtN1BhUHJPX1FPNG43aXEzU0tDa2ZfcndUSjZVbzQ4XzRlS21EdFRiSjlPYTI4RHBVcUFET1N5TVdxazBKNTVXU2l2QTkteGRLU3hKZW8?oc=5;Piauí Digital Sefaz Etipi e SIA recebem capacitação do BID sobre Termo de Referência nbsp nbsp pi gov br;Mon, 26 May 2025 07:00:00 GMT;SIA Piauí;2025-09-02T21:52:44.484125;Piauí Digital Sefaz Etipi e SIA recebem capacitação do BID sobre Termo de Referência pi gov br Piauí Digital Sefaz Etipi e SIA recebem capacitação do BID sobre Termo de Referência nbsp nbsp pi gov br;positivo
Piauí se destaca com mais de mil estudantes classificados para a 3ª fase da Olimpíada Nacional de Inteligência Artificial pi gov br;https://news.google.com/rss/articles/CBMi3AFBVV95cUxPbXRua1p5cWp4QXBUZjhWWm94M1hNXzN5QXBuSVZsSzRDMm1RU09fVVFwdTd1NmNmaVhDcXlNcGhnRndEUUxjeG9wY3B4dmtKMUFueTBTdDVneWNsZ1AxMzVLNDZBeUo3Q2RXZmtCaExnYi1NS3ZBRHVKZl83Qi01eU1oRmpyUW1FTWg0NEZkRms2a1hONDRYTGZkbTFHVXJWNXZubUVHbGs4VWU0SWotWV9HRXRfMkJMWnFheW9vMkZDNktfYlZhNVQ5OGVqUVNOT0Y5eDctQ21WM2xP?oc=5;Piauí se destaca com mais de mil estudantes classificados para a 3ª fase da Olimpíada Nacional de Inteligência Artificial nbsp nbsp pi gov br;Sun, 09 Mar 2025 08:00:00 GMT;Artificial Intelligence Piauí;2025-09-02T21:52:45.601177;Piauí se destaca com mais de mil estudantes classificados para a 3ª fase da Olimpíada Nacional de Inteligência Artificial pi gov br Piauí se destaca com mais de mil estudantes classificados para a 3ª fase da Olimpíada Nacional de Inteligência Artificial nbsp nbsp pi gov br;neutro
JuLIA inteligência artificial do TJPI é entrevistada em podcast Tribunal de Justiça do Piauí;https://news.google.com/rss/articles/CBMiugFBVV95cUxPR3VHcm5MaG5faXlFcXcyNlZxcHFHX0JvZWV6dkk1bHlKanZmXzRoQnZ0QlZWY2tibzcwdkpIZzVLWEJnVWJTM19ib0lhdVRGVWFYejJOeVlqUGtjZE1lZ2NWUXR4N3poU0t2bXJrN1Q3bC1zVnhBLVRZOHlEb3JqRWlsQ29Jd2tsY1kyd3RLQ0ZJYlp0bWhBbWRzOXQzakhxOEpyTkczTFJ0TFQxNDhlQ1hrTERCckYwc2c?oc=5;JuLIA inteligência artificial do TJPI é entrevistada em podcast nbsp nbsp Tribunal de Justiça do Piauí;Fri, 22 Aug 2025 14:12:50 GMT;Artificial Intelligence Piauí;2025-09-02T21:52:45.601224;JuLIA inteligência artificial do TJPI é entrevistada em podcast Tribunal de Justiça do Piauí JuLIA inteligência artificial do TJPI é entrevistada em podcast nbsp nbsp Tribunal de Justiça do Piauí;neutro
